OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
STARLINK-37650,2026-161AE,100056,PAY,+,US,2026-07-14,AFETR,,93.85,53.16,463,462,,,EA,ORB
SOYUZ-MS 29,2026-162A,100057,PAY,+,CIS,2026-07-14,TYMSC,,92.96,51.63,423,416,,,25544,DOC
RASSVET-3 32,2026-165R,100098,PAY,+,CIS,2026-07-19,PLMSC,,92.78,82.30,411,410,,,EA,ORB
STARLINK-38179,2026-171C,100150,PAY,+,US,2026-07-25,AFWTR,,93.69,97.28,456,454,,,EA,ORB
STARLINK-38097,2026-171R,100163,PAY,+,US,2026-07-25,AFWTR,,93.19,97.28,432,429,,,EA,ORB
STARLINK-38288,2026-184Q,100315,PAY,+,US,2026-08-12,AFWTR,,92.95,97.28,420,418,,,EA,ORB
STARLINK-38294,2026-184U,100319,PAY,+,US,2026-08-12,AFWTR,,93.24,97.28,434,432,,,EA,ORB
STARLINK-38245,2026-184V,100320,PAY,+,US,2026-08-12,AFWTR,,93.59,97.28,451,449,,,EA,ORB
STARLINK-37985,2026-196E,100477,PAY,+,US,2026-08-25,AFETR,,91.15,53.16,332,330,,,EA,ORB
STARLINK-37966,2026-196F,100478,PAY,+,US,2026-08-25,AFETR,,91.15,53.16,332,329,,,EA,ORB
